model,cv_auc_mean,cv_auc_std,test_auc,accuracy,sensitivity,specificity,f1,bootstrap_auc_ci_lower,bootstrap_auc_ci_median,bootstrap_auc_ci_upper,n_features
GLM,0.8120694909688013,0.12153221801839462,0.7110506316113794,0.7887139107611548,0.46153846153846156,0.794392523364486,0.06936416184971098,0.5887311286843998,0.6990859607682037,0.7406310978740885,6
NNET,0.7974803229337711,0.13712327270959113,0.7337989113690049,0.9816272965879265,0.0,0.9986648865153538,0.0,0.5345537639930164,0.6902793468214029,0.7441255006675568,6
XGBoost,0.7884020580186097,0.12348347365924242,0.7052480230050324,0.9829396325459318,0.0,1.0,0.0,0.561849132176235,0.622445311697648,0.7343663345999795,6
RF,0.7372232348111659,0.13812802179671982,0.6439868542672281,0.7952755905511811,0.23076923076923078,0.8050734312416555,0.037037037037037035,0.5136566704323714,0.6326897401663757,0.7031503543185786,6
SVM,0.7246864641488779,0.1314153765740277,0.6763376810105782,0.9829396325459318,0.0,1.0,0.0,0.508187840197186,0.6565163808154462,0.7098207866899455,6
GBM,0.6842096059113301,0.1714693167601131,0.7305638286946697,0.9803149606299213,0.0,0.9973297730307076,0.0,0.47873318270514537,0.6418301324843381,0.7351905104241553,6
