model,auc_ci_lower,auc_ci_median,auc_ci_upper
GLM,0.5887311286843998,0.6990859607682037,0.7406310978740885
RF,0.5136566704323714,0.6326897401663757,0.7031503543185786
SVM,0.508187840197186,0.6565163808154462,0.7098207866899455
NNET,0.5345537639930164,0.6902793468214029,0.7441255006675568
GBM,0.47873318270514537,0.6418301324843381,0.7351905104241553
XGBoost,0.561849132176235,0.622445311697648,0.7343663345999795
