model,selected_threshold,threshold_train_sensitivity,threshold_train_specificity,tuning_auc,cv_auc_mean,cv_auc_std,test_auc,accuracy,sensitivity,specificity,f1,bootstrap_auc_ci_lower,bootstrap_auc_ci_median,bootstrap_auc_ci_upper,n_features
NNET,0.01664241619233148,0.8,0.6327231121281465,0.823898758357211,0.8176203886152161,0.12309363099270232,0.743093355242888,0.7952755905511811,0.46153846153846156,0.8010680907877169,0.07142857142857142,0.6362265071377221,0.7302043750641882,0.743298757317449,6
GLM,0.4211046251031865,0.8333333333333334,0.6006864988558352,0.8099784418065221,0.8209955719759169,0.11924686890384804,0.7350826743350108,0.5577427821522309,0.7692307692307693,0.5540720961281709,0.056022408963585436,0.5899507035021054,0.7102546985724556,0.7412999383793777,6
SVM,0.013293013944226884,0.9,0.6052631578947368,0.8259878291717834,0.8266346414887795,0.11820507558763599,0.7341583649994865,0.5511811023622047,0.7692307692307693,0.5473965287049399,0.055248618784530384,0.6454169662113587,0.7326178494402793,0.7395039539899354,6
GBM,0.020151113080403883,0.7333333333333333,0.7763157894736842,0.7983767498976668,0.8066592610837438,0.12045250886019053,0.7326178494402793,0.7939632545931758,0.46153846153846156,0.7997329773030708,0.07100591715976332,0.5539770976686864,0.7067371880455993,0.7399622573687995,6
XGBoost,0.01681314967572689,0.8,0.6556064073226545,0.7638652749351889,0.7891050848385331,0.11728064793530674,0.6800862688713157,0.7847769028871391,0.38461538461538464,0.7917222963951935,0.05747126436781609,0.5633293108760399,0.618748074355551,0.7284096744377119,6
RF,0.42437423318141476,0.8,0.6104118993135011,0.7943458589166326,0.8000524083196496,0.12210941963441227,0.6572352880764096,0.562992125984252,0.6153846153846154,0.562082777036048,0.045845272206303724,0.5965877580363562,0.6527677929547089,0.6984363767074048,6
