model,auc_ci_lower,auc_ci_median,auc_ci_upper
GLM,0.5899507035021054,0.7102546985724556,0.7412999383793777
RF,0.5965877580363562,0.6527677929547089,0.6984363767074048
SVM,0.6454169662113587,0.7326178494402793,0.7395039539899354
NNET,0.6362265071377221,0.7302043750641882,0.743298757317449
GBM,0.5539770976686864,0.7067371880455993,0.7399622573687995
XGBoost,0.5633293108760399,0.618748074355551,0.7284096744377119
