,AUC,AUC_CI,PR_AUC,Threshold,Sensitivity,Specificity,Accuracy,F1,Youden,CV_AUC
GLM,0.8705414697034809,0.779-0.955,0.35305935211048844,0.4,0.9230769230769231,0.6508379888268156,0.6556927297668038,0.08727272727272728,0.5739149119037388,0.720741899286005
SVM,0.8763429308122046,0.795-0.952,0.33544577142495213,0.4,0.46153846153846156,0.9608938547486033,0.9519890260631001,0.2553191489361702,0.4224323162870649,0.7166423372161151
NNET,0.835195530726257,0.714-0.944,0.30342714541106813,0.4,0.23076923076923078,0.9958100558659218,0.9821673525377229,0.3157894736842105,0.2265792866351526,0.6521903456768056
RF,0.8586162440911045,0.756-0.955,0.26619162074957115,0.4,0.8461538461538461,0.7108938547486033,0.7133058984910837,0.09523809523809523,0.5570477009024495,0.6936604899653429
XGB,0.8600128921357972,0.759-0.951,0.26307387061522025,0.4,0.6153846153846154,0.8449720670391061,0.840877914951989,0.12121212121212122,0.4603566824237215,0.604349013415954
