,AUC,AUC_CI,PR_AUC,Threshold,Sensitivity,Specificity,Accuracy,F1,Youden,CV_AUC
GLM,0.7227653631284917,0.543-0.889,0.24459414848279543,0.4,0.6923076923076923,0.5377094972067039,0.5404663923182441,0.05099150141643059,0.23001718951439631,0.737493917637362
SVM,0.7144929093253116,0.539-0.881,0.21441390146983022,0.4,0.15384615384615385,0.9888268156424581,0.9739368998628258,0.17391304347826086,0.14267296948861197,0.7336449985600938
NNET,0.7652019767941556,0.600-0.912,0.12809806760045533,0.4,0.8461538461538461,0.4259776536312849,0.4334705075445816,0.05057471264367816,0.27213149978513096,0.5697819783318934
XGB,0.6203803180060163,0.455-0.774,0.10849518174798878,0.4,0.5384615384615384,0.6815642458100558,0.6790123456790124,0.056451612903225805,0.22002578427159425,0.6247298934469369
RF,0.6030833691448217,0.451-0.761,0.03345768508027194,0.4,0.6153846153846154,0.5824022346368715,0.5829903978052127,0.05,0.19778685002148677,0.6914843943952891
