Model,AUC,CV_AUC,Sensitivity,Specificity,Accuracy,F1,Youden
GBM,0.8816072195960465,0.6590176789278586,0.6153846153846154,0.8840782122905028,0.879286694101509,0.15384615384615385,0.49946282767511807
SVM,0.8770949720670391,0.728109257675126,0.8461538461538461,0.6675977653631285,0.6707818930041153,0.08396946564885496,0.5137516115169747
RF,0.8690373871938118,0.7011411700408706,0.7692307692307693,0.7807262569832403,0.7805212620027435,0.1111111111111111,0.5499570262140097
GLM,0.8689299527288354,0.7362014067103887,0.7692307692307693,0.7192737430167597,0.720164609053498,0.08928571428571429,0.4885045122475291
NNET,0.846691018478728,0.6992716947058264,0.8461538461538461,0.6899441340782123,0.6927297668038409,0.08943089430894309,0.5360979802320585
