,AUC,PR_AUC,Threshold,Sensitivity,Specificity,Accuracy,F1,Youden,CV_AUC
RF,0.8962720240653202,0.27277246428825724,0.7681818181818182,0.38461538461538464,0.9874301675977654,0.9766803840877915,0.37037037037037035,0.37204555221315005,0.6869404049044767
XGB,0.8847765363128491,0.3361778133929019,0.75,0.46153846153846156,0.9832402234636871,0.9739368998628258,0.3870967741935484,0.4447786850021487,0.6869831765041347
SVM,0.8769875376020627,0.3400750145168339,0.9227272727272727,0.23076923076923078,1.0,0.9862825788751715,0.375,0.23076923076923084,0.7191284098469727
GLM,0.8661366566394499,0.35751726509357606,0.8863636363636364,0.38461538461538464,0.9874301675977654,0.9766803840877915,0.37037037037037035,0.37204555221315005,0.7288161771694706
NNET,0.8431456811345079,0.2871480423093385,0.75,0.5384615384615384,0.9664804469273743,0.9588477366255144,0.3181818181818182,0.5049419853889128,0.7282114342743085
