model,auc_ci_lower,auc_ci_median,auc_ci_upper
GLM,0.6229716176913048,0.6628221843345703,0.6744383712767024
RF,0.548643566342393,0.6251378999097383,0.7154046735533045
SVM,0.32842743957476683,0.3410891585598236,0.6682303680673954
NNET,0.6333316618192758,0.711663825092769,0.741766121753084
GBM,0.5731960184535152,0.636495837929997,0.699063534249323
XGBoost,0.5871226557015344,0.6171647778557818,0.6418212817169793
