model,auc_ci_lower,auc_ci_median,auc_ci_upper
GLM,0.7795740223463687,0.8606574989256554,0.8834658358401375
RF,0.7684894714224323,0.8438708637730985,0.8780390524280189
SVM,0.12179308122045551,0.8456166738289643,0.8736167812634293
NNET,0.7414938762354963,0.8507735281478298,0.8844649763644177
GBM,0.7359502578427161,0.843467984529437,0.8879606252685861
XGBoost,0.7474699183498067,0.8265201976794156,0.8616700687580575
