model,auc_ci_lower,auc_ci_median,auc_ci_upper
GLM,0.7686192468619248,0.8375174337517434,0.8755578800557879
RF,0.7489844839609484,0.7982914923291493,0.8777007787075779
SVM,0.1714144583914458,0.8441422594142259,0.8612854486285448
NNET,0.7185611343561135,0.8572175732217573,0.8856345885634588
GBM,0.6654506624825662,0.8140109251510925,0.8602975360297535
XGBoost,0.7345711297071129,0.8337401208740121,0.8951200023245002
