model,selected_threshold,threshold_train_sensitivity,threshold_train_specificity,tuning_auc,cv_auc_mean,cv_auc_std,test_auc,accuracy,sensitivity,specificity,f1,bootstrap_auc_ci_lower,bootstrap_auc_ci_median,bootstrap_auc_ci_upper,n_features
XGBoost,0.014675309881567955,0.8275862068965517,0.6226076555023924,0.7743613370274377,0.767740501140576,0.1575308587394048,0.8844142259414226,0.5692729766803841,0.9166666666666666,0.5634588563458857,0.06547619047619048,0.7345711297071129,0.8337401208740121,0.8951200023245002,5
SVM,0.013709542390014682,0.7241379310344828,0.6537081339712919,0.7992990496618704,0.798090277777778,0.13518288187961722,0.8454788470478847,0.813443072702332,0.6666666666666666,0.8158995815899581,0.10526315789473684,0.1714144583914458,0.8441422594142259,0.8612854486285448,5
GBM,0.011971647175350729,0.6896551724137931,0.6261961722488039,0.7419812017755534,0.7452951537401387,0.1621790728950104,0.8394351464435146,0.5651577503429356,0.9166666666666666,0.5592747559274756,0.06489675516224189,0.6654506624825662,0.8140109251510925,0.8602975360297535,5
GLM,0.4295574377486678,0.7931034482758621,0.6094497607655502,0.7918183453987548,0.7909609649748123,0.144867443145142,0.8389702463970246,0.5802469135802469,0.9166666666666666,0.5746164574616457,0.06707317073170732,0.7686192468619248,0.8375174337517434,0.8755578800557879,5
NNET,0.0117038030170606,0.7931034482758621,0.6148325358851675,0.7877658057020287,0.789469364841745,0.14478941461059566,0.8323454207345421,0.644718792866941,0.9166666666666666,0.6401673640167364,0.07829181494661921,0.7185611343561135,0.8572175732217573,0.8856345885634588,5
RF,0.3403317483896622,0.7931034482758621,0.6214114832535885,0.7647216194476719,0.7582017809618857,0.15384921468971463,0.8164225941422594,0.607681755829904,0.9166666666666666,0.602510460251046,0.07142857142857142,0.7489844839609484,0.7982914923291493,0.8777007787075779,5
