model,selected_threshold,threshold_train_sensitivity,threshold_train_specificity,tuning_auc,cv_auc_mean,cv_auc_std,test_auc,accuracy,sensitivity,specificity,f1,bootstrap_auc_ci_lower,bootstrap_auc_ci_median,bootstrap_auc_ci_upper,n_features
GBM,0.011127920800296924,0.8275862068965517,0.6202153110047847,0.7507829952036227,0.749994475335044,0.16227201993510207,0.8896443514644351,0.6529492455418381,0.9166666666666666,0.6485355648535565,0.08,0.7136288354253836,0.8237738261273826,0.8820882728963272,5
XGBoost,0.012768952175974846,0.8275862068965517,0.6196172248803827,0.764672595108291,0.7617794173557647,0.15399849239103797,0.8737215248721525,0.6213991769547325,0.9166666666666666,0.6164574616457462,0.0738255033557047,0.7757423872617387,0.8424860529986054,0.8948425151092515,5
GLM,0.42245971366856155,0.8275862068965517,0.6136363636363636,0.788562677629815,0.7952934309951527,0.13939514814838075,0.8389702463970246,0.5775034293552812,0.9166666666666666,0.5718270571827058,0.06666666666666667,0.7913063691306369,0.8326359832635983,0.8758804044630404,5
NNET,0.08396133790253751,0.6896551724137931,0.7482057416267942,0.8004583370572288,0.8020345915312233,0.13108625064748017,0.8375755462575546,0.8244170096021948,0.6666666666666666,0.8270571827057183,0.1111111111111111,0.8256915388191538,0.8526847977684797,0.8701970013947001,5
RF,0.363607356488973,0.8275862068965517,0.6202153110047847,0.7740723925283762,0.7714175220986595,0.1506104020850038,0.8261273826127382,0.607681755829904,0.9166666666666666,0.602510460251046,0.07142857142857142,0.7576112854486285,0.8106113435611344,0.8789458391445839,5
SVM,0.015338442063302836,0.7931034482758621,0.6537081339712919,0.7665236869544492,0.7620701751259387,0.14919078606136432,0.7336703858670386,0.6790123456790124,0.6666666666666666,0.6792189679218968,0.064,0.5551371455137145,0.7841701534170153,0.883487331473733,5
