model,auc_ci_lower,auc_ci_median,auc_ci_upper
GLM,0.7913063691306369,0.8326359832635983,0.8758804044630404
RF,0.7576112854486285,0.8106113435611344,0.8789458391445839
SVM,0.5551371455137145,0.7841701534170153,0.883487331473733
NNET,0.8256915388191538,0.8526847977684797,0.8701970013947001
GBM,0.7136288354253836,0.8237738261273826,0.8820882728963272
XGBoost,0.7757423872617387,0.8424860529986054,0.8948425151092515
